pair_idx,reward_a,reward_b,frame,reward_a_uncoh,reward_b_uncoh,aesthetic_score,image_reward,pick_score,hpsv2_score,clip_score,openai_clip_score
1,CLIP Score,Aesthetic Score,0,0.0,1.0,5.891995310783386,0.8902514576911926,0.17679904773831367,0.242889404296875,0.20906249433755875,0.2770707458257675
1,CLIP Score,Aesthetic Score,1,0.03225806451612903,0.967741935483871,5.977093935012817,0.6582595780491829,0.17893030866980553,0.248260498046875,0.2109374925494194,0.29576805233955383
1,CLIP Score,Aesthetic Score,2,0.06451612903225806,0.935483870967742,6.0178409814834595,0.7129454463720322,0.17894886806607246,0.248077392578125,0.20624999701976776,0.28677214682102203
1,CLIP Score,Aesthetic Score,3,0.0967741935483871,0.9032258064516129,6.148132801055908,0.895361416041851,0.18091359734535217,0.25445556640625,0.19687499478459358,0.27800147235393524
1,CLIP Score,Aesthetic Score,4,0.12903225806451613,0.8709677419354839,6.121089577674866,0.7906162664294243,0.17909838631749153,0.245697021484375,0.19499999284744263,0.28246260434389114
1,CLIP Score,Aesthetic Score,5,0.16129032258064516,0.8387096774193549,6.3730093240737915,1.096749871969223,0.180216196924448,0.2591552734375,0.19218749552965164,0.28162693977355957
1,CLIP Score,Aesthetic Score,6,0.1935483870967742,0.8064516129032258,6.36952817440033,0.9301751405000687,0.18036750704050064,0.2584228515625,0.2006249949336052,0.2730828747153282
1,CLIP Score,Aesthetic Score,7,0.22580645161290322,0.7741935483870968,6.479440331459045,0.8002315536141396,0.18167661502957344,0.261688232421875,0.19499999657273293,0.2877819091081619
1,CLIP Score,Aesthetic Score,8,0.25806451612903225,0.7419354838709677,6.416769027709961,0.7433512359857559,0.1798088364303112,0.25244140625,0.1978124938905239,0.28317631781101227
1,CLIP Score,Aesthetic Score,9,0.2903225806451613,0.7096774193548387,6.427958250045776,0.8755645155906677,0.17537304013967514,0.2423095703125,0.19468749687075615,0.2944362312555313
1,CLIP Score,Aesthetic Score,10,0.3225806451612903,0.6774193548387097,6.476741075515747,0.8338289111852646,0.17722433060407639,0.233734130859375,0.19562499597668648,0.3023560270667076
1,CLIP Score,Aesthetic Score,11,0.3548387096774194,0.6451612903225806,6.550123453140259,0.7540176808834076,0.17600838094949722,0.23199462890625,0.19374999403953552,0.2906171530485153
1,CLIP Score,Aesthetic Score,12,0.3870967741935484,0.6129032258064516,6.493605375289917,0.5203404575586319,0.17669061198830605,0.229278564453125,0.19374999776482582,0.28115248680114746
1,CLIP Score,Aesthetic Score,13,0.41935483870967744,0.5806451612903225,6.415387392044067,0.3972236290574074,0.17499152198433876,0.22259521484375,0.1874999962747097,0.26681293547153473
1,CLIP Score,Aesthetic Score,14,0.45161290322580644,0.5483870967741935,6.512193202972412,0.5363299176096916,0.17894826084375381,0.226715087890625,0.19749999791383743,0.2811431922018528
1,CLIP Score,Aesthetic Score,15,0.4838709677419355,0.5161290322580645,6.512135624885559,0.885305255651474,0.1800992265343666,0.23126220703125,0.20249999314546585,0.28867629915475845
1,CLIP Score,Aesthetic Score,16,0.5161290322580645,0.4838709677419355,6.534861445426941,0.5795256197452545,0.18142662569880486,0.23541259765625,0.20124999433755875,0.29344116896390915
1,CLIP Score,Aesthetic Score,17,0.5483870967741935,0.4516129032258065,6.646234393119812,0.8050084337592125,0.18278079852461815,0.245941162109375,0.20531249418854713,0.286490835249424
1,CLIP Score,Aesthetic Score,18,0.5806451612903226,0.4193548387096774,6.686029434204102,0.8766197673976421,0.183107428252697,0.24700927734375,0.20249999314546585,0.2900710999965668
1,CLIP Score,Aesthetic Score,19,0.6129032258064516,0.3870967741935484,6.733755111694336,0.7485623210668564,0.18295329064130783,0.2464599609375,0.19468749314546585,0.27967076748609543
1,CLIP Score,Aesthetic Score,20,0.6451612903225806,0.3548387096774194,6.82599949836731,0.7504372373223305,0.18315953016281128,0.250946044921875,0.1953124962747097,0.2791016213595867
1,CLIP Score,Aesthetic Score,21,0.6774193548387096,0.32258064516129037,6.850222587585449,0.8703998476266861,0.1848313957452774,0.26177978515625,0.20124999806284904,0.2963155284523964
1,CLIP Score,Aesthetic Score,22,0.7096774193548387,0.29032258064516125,6.90781557559967,0.6580167412757874,0.18327172473073006,0.25970458984375,0.1953124962747097,0.2766178660094738
1,CLIP Score,Aesthetic Score,23,0.7419354838709677,0.25806451612903225,6.8212597370147705,0.8226510658860207,0.18441644310951233,0.2716064453125,0.20468749850988388,0.2905670255422592
1,CLIP Score,Aesthetic Score,24,0.7741935483870968,0.22580645161290325,7.062952518463135,0.8459498956799507,0.18465431779623032,0.26849365234375,0.20249999314546585,0.2807282842695713
1,CLIP Score,Aesthetic Score,25,0.8064516129032258,0.19354838709677424,6.982753753662109,0.9849134087562561,0.18417196720838547,0.26690673828125,0.20749999210238457,0.28273966908454895
1,CLIP Score,Aesthetic Score,26,0.8387096774193549,0.16129032258064513,6.901013612747192,0.9877109825611115,0.18473142012953758,0.26593017578125,0.20937499403953552,0.28571878373622894
1,CLIP Score,Aesthetic Score,27,0.8709677419354839,0.12903225806451613,6.889172077178955,0.9721518605947495,0.1839110441505909,0.263763427734375,0.20468749478459358,0.2660547159612179
1,CLIP Score,Aesthetic Score,28,0.9032258064516129,0.09677419354838712,6.971326112747192,0.869648277759552,0.18718239665031433,0.26947021484375,0.20406249538064003,0.27895279228687286
1,CLIP Score,Aesthetic Score,29,0.9354838709677419,0.06451612903225812,7.139575958251953,1.0225706100463867,0.18634554371237755,0.27874755859375,0.20343749225139618,0.29061993956565857
