frame,Parameter clip_score_coherence,Parameter aesthetic_score_coherence,Parameter image_reward_score_coherence,Parameter pick_a_score_score_coherence,Parameter hpsv2_score_coherence,Parameter vqa_score_coherence,Parameter sciscore_score_coherence
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0.3462357704732494,0.3983386517065749,0.41866306140432363,0.38443462772400355,0.35772820565216373,0.3383986890079963,0.2933393372673492
2,0.45045411868278695,0.48573897776910013,0.5428977351385081,0.48012226538065894,0.4494596008989729,0.43132554622245306,0.3534909319427368
3,0.4820951688564574,0.4959294274782016,0.5922724480509459,0.5063523861469627,0.48796585997236863,0.45071074700175545,0.34623335369137964
4,0.45731020962403907,0.4604034225786463,0.6096002996645445,0.47926100649120773,0.49839398766008547,0.4324892754288742,0.3450630568846737
5,0.4407530145076429,0.4230711895939219,0.5972834866073703,0.45107828157178687,0.5401527022442214,0.42543139632122506,0.3428667837122253
6,0.42537494113119256,0.4085297327573093,0.5730381435808763,0.424096958944822,0.5972228732735739,0.40442524350990705,0.3177983928946539
7,0.42146299563093714,0.40912610942041083,0.5429644476088004,0.4084561057898368,0.6325437561580879,0.383075390186393,0.29161185660492617
8,0.41784971678135013,0.4291662139692506,0.5296593862616861,0.4020540662521,0.6494280681862203,0.3971153470374529,0.278322402881975
9,0.4357840581056413,0.44452424762124193,0.5225272906275128,0.4049149667356242,0.654058059177506,0.4097271516570561,0.23237776382780065
10,0.44452521989169025,0.4627509294477082,0.5267126586354737,0.4118007511723948,0.6525318119950297,0.4166131567870286,0.19381135653938122
11,0.41541347902408954,0.4539129402696076,0.5358264641883785,0.3896810504396875,0.6432396680782632,0.4231095297352637,0.17571070546762513
12,0.3568220380439815,0.45547815180695606,0.560518132531166,0.3665699212426696,0.6773550587448545,0.4096406882237713,0.1640457136186371
13,0.2913698264139513,0.43931466882720327,0.5820780644364754,0.33393758220095626,0.7150530436865518,0.3538827402308363,0.13683933638644638
14,0.24851675969446715,0.4353289312283041,0.59494388855834,0.3165007001912964,0.7272109159504513,0.29435766096901356,0.12525974176720214
15,0.2023769515598113,0.4279849711566716,0.6254621973614927,0.3083980857149335,0.7055191618354519,0.22539359543881216,0.15299641186769275
16,0.16645753189915383,0.4504517019730111,0.6697013602078302,0.35008872380215056,0.6836139016497221,0.18387532951681054,0.19059109128423488
17,0.1563291289190596,0.4829885552617487,0.7096653137035842,0.3901815962706013,0.6641112194838457,0.13570412588351735,0.25600792789898863
18,0.17556702871496274,0.5202323301875248,0.7247078385963206,0.443535875562342,0.6449631304826572,0.10423311801228213,0.3157450493012525
19,0.1662992210276748,0.5462824522084467,0.7319129190212843,0.4852089189663336,0.6283800030838005,0.08101076268673187,0.38376922865961216
20,0.14664687882139416,0.5688307628856828,0.7177895162094737,0.5188072127392376,0.632578797378059,0.07025387279537867,0.42093431696270583
21,0.14587975036514853,0.5851977552275731,0.6693771530503523,0.5383318807738555,0.634682441913296,0.05679636851260232,0.441533308377234
22,0.1715714571746844,0.5896263153779998,0.6149710880070663,0.563493020563533,0.6098601649918391,0.08780636450571533,0.4618362532012025
23,0.19997407067561068,0.6003106941450705,0.5901658728912185,0.5778388164463913,0.5904872469996054,0.1312512769421881,0.5010256615988736
24,0.24653189800076347,0.6165325773300654,0.5714001352904445,0.6041061384561385,0.5734584881586959,0.1745160268098118,0.5275217892675218
25,0.31519650175222624,0.6526369186659718,0.5484588849382569,0.6196729271877466,0.5633186284322105,0.22502041876921028,0.550338180513371
26,0.3673832050116737,0.674861963473829,0.5365953846207804,0.6342880329725398,0.5621513356715908,0.27075196786976924,0.5585124223795305
27,0.38842006621599406,0.6873519623922102,0.5364123919348917,0.646670044759372,0.5623193718773928,0.3077101391439031,0.5485229602595194
